,Unnamed: 0,hit_type_id,hit_id,assign_id,worker_id
11,0,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3087LXLJ6MHR67KAHW9VEWF4MCJF0D,35GCEFQ6I5PWE081RXQN75OKMGKZ3I,A39SK1E6IMQBD5
12,1,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3ZICQFRS31JUD9H0M2GUNNY8GOVZZC,3TOK3KHVJTJ2GFVHR0IW4OTW7E3O7A,A98E8M4QLI9RS
13,2,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3J9L0X0VDFNBDNUI7H2OBV2XKJ39WH,3I33IC7ZWF36SA4AB5WJ72SJ7H92A5,A5TWD5QD99GZY
14,3,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,31N9JPQXIPJE5Z3NDSZTSTNUAK7HNO,3NKQQ8O39Y6DATGOEZXR3MVHBB0UDS,AJQGWGESKQT4Y
15,4,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3GL25Y6843V597I26V2FI0MOTKFXMW,3Y5140Z9DXHHQZOEPRZ8KDOVVZEIPK,A21LONLNBOB8Q
16,5,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3DTJ4WT8BDGW2EQ4QF2H2DXQSINEZM,36V4Q8R5ZK1OMUFKAJCPCBLMH4IMQT,A21LONLNBOB8Q
17,6,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3Z33IC0JC0NYYYUDH7XSPTJJDA19V7,3HHRAGRYX866UYJA6XGGIKK224SO9N,A5TWD5QD99GZY
18,7,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,35A1YQPVFEHAB581FALSYOONJCM5IF,3COPXFW7XBD8WUE2PUKKXT38N34KPY,A3GWRDHAURRNK6
19,8,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3XBXDSS888KL3P0H6J10IN7ZTFPXLU,3BXQMRHWKZZGENM1RSWUMCIBKPRMU1,A39SK1E6IMQBD5
20,9,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,302OLP89DZ8G48YIIWGNVW6EYL3CAQ,3E13VNJ1NNWE975C4POIJH6XSJ3I1B,A21LONLNBOB8Q
21,10,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3RIHDBQ1NEZ8NHIN1RKTFEYU5UXHMO,3X3OR7WPZZ1YA8X3ODUAQ7LXNT38LZ,A3GWRDHAURRNK6
22,11,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3M47JKRKCX2D53W2B7J6D589CBS86Q,37Z929RLG994C5KHBK26TPVFT00TSR,A39SK1E6IMQBD5
23,12,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3SSN80MU8CPAJJIZLJPZ3NUK4FKXKR,3KJYX6QCM9CQQU5GTLT726SDU21VJR,A21LONLNBOB8Q
24,13,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3UL5XDRDNCKHMZWO6O91LZU9GGH85A,3JV9LGBJWTFL986IK3MQA16P6HOOGF,A3GWRDHAURRNK6
25,14,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,31ANT7FQN83AFAXH9S37YCN8JZ75HM,3KJYX6QCM9CQQU5GTLT726SDU27VJX,A5TWD5QD99GZY
26,15,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3OJX0UFJ0Z8YLJ5DCHNNT7H0Z3S9UI,39K0FND3AHGWZE83LNF3MB6HDMWAMA,A21LONLNBOB8Q
27,16,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3I6NF2WGIGXWFE26PMLPDCB74ZU5GN,3N4BPTXIO8TLOZMY6GJE7ZQ7VKTKUR,A98E8M4QLI9RS
28,17,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,32TMVRKDGNZZQGSOSJQRG7OVGKM845,3JJVG1YBEBY3AHSPZ2YD0KF199U5BD,A5TWD5QD99GZY
29,18,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3EN4YVUOUCTF8ZCH3YPN28U7PQKXJS,3S06PH7KSR5X1WPQCBN7SKQK0E4D1D,A21LONLNBOB8Q
30,19,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3HXCEECSQMUU8J7VQGEB9GP6AURZYL,3TDXMTX3CBV9GT69AV0ZEDXE0UPI6F,A98E8M4QLI9RS
31,20,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3MNJFORX8B5Q1E6BE2F7VRBV3KU5FO,3LOZAJ85YDEIONC3MFOXRA3H82IX24,A3GWRDHAURRNK6
32,21,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3I01FDIL6M914X9S5DIJ9K5Y7XN2D9,34V1S5K3GS2G5SD661UM1KYBH4396O,A21LONLNBOB8Q
33,22,30A2MGX2Z2L3CR7QB9MER96TRDSNVU,3D1UCPY6GGAE8K9KS5L862WP2KQ83K,3VNL7UK1XFKV80FV5027MQC04A1TF3,A5TWD5QD99GZY
